fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.54438,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,2,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.53768,0.00965,0.01179,0.92225,0.00045,3.40529,0.8,8.87238,0.42163,2.0,0.015,0.74745,0.40937,0.0,0.13006,0.5,0.0,0.0,0.0,0.49693,0.0,1.0,0.0,0.0
0.53179,0.00996,0.01023,0.94008,0.00049,3.0,0.83051,7.5,0.51195,1.95748,0.01486,0.69237,0.39973,0.0,0.09771,0.50374,0.0,0.0,0.0,0.50235,0.0,1.0,0.0,0.0
0.53954,0.00852,0.01259,0.92575,0.00047,3.40529,0.86765,9.21376,0.42163,1.92146,0.01434,0.76324,0.43428,0.0,0.13006,0.5,0.0,0.0,0.0,0.54596,0.0,0.97304,0.0,0.0
0.57104,0.00965,0.01179,0.91209,0.00045,3.3043,0.7891,10.36086,0.42163,1.95078,0.01547,0.74745,0.53788,0.0,0.15482,0.30537,0.0,0.0,0.0,0.56291,0.0,1.0,0.0,0.0
0.54777,0.01032,0.01117,0.9194,0.00057,3.0,0.87013,6.66625,0.52387,2.20718,0.01699,0.62973,0.41389,0.0,0.09505,0.5,0.0,0.0,0.0,0.50009,0.0,1.0,0.0,0.0
0.54781,0.00904,0.00986,0.81792,0.00046,3.0,0.8553,6.12035,0.38626,2.37005,0.01568,0.71067,0.42301,0.0,0.11403,0.46177,0.0,0.0,0.0,0.44006,0.0,0.95059,0.0,0.0
0.53575,0.00895,0.0093,0.81792,0.00038,2.83021,0.95,6.12035,0.38626,2.37005,0.01568,0.81508,0.4856,0.0,0.10439,0.5138,0.0,0.0,0.0,0.44006,0.0,0.95509,0.0,0.0
0.55086,0.00881,0.00986,0.83122,0.00046,3.22957,0.8553,5.62555,0.38626,2.18691,0.01586,0.68878,0.42608,0.0,0.12305,0.46177,0.0,0.0,0.0,0.40735,0.0,0.87826,0.0,0.0
0.55071,0.00881,0.00839,0.83122,0.00043,3.08769,0.89015,6.12344,0.40161,2.4125,0.01629,0.68878,0.42608,0.0,0.13242,0.4731,0.0,0.0,0.0,0.41317,0.0,0.85,0.0,0.0
0.53228,0.0094,0.01179,0.86693,0.00044,2.79447,0.67619,10.36086,0.42163,1.95141,0.01548,0.78115,0.54396,0.0,0.1383,0.30537,0.0,0.0,0.0,0.51827,0.0,0.97433,0.0,0.0
0.54033,0.00965,0.01245,0.93619,0.00043,3.73228,0.82924,9.57514,0.29056,1.77683,0.01547,0.74745,0.62745,0.0,0.13318,0.35715,0.0,0.0,0.0,0.44359,0.0,0.91029,0.0,0.0
0.51514,0.0089,0.01179,0.92874,0.00045,3.3043,0.78045,10.36086,0.43327,1.95078,0.01547,0.82006,0.41884,0.0,0.17906,0.41862,0.0,0.0,0.0,0.70076,0.0,0.97363,0.0,0.0
0.51961,0.00841,0.01261,0.91209,0.00041,3.08457,0.70748,10.57887,0.42163,2.22037,0.01444,0.69422,0.54042,0.0,0.16168,0.31796,0.0,0.0,0.0,0.50692,0.0,1.0,0.0,0.0
0.548,0.00852,0.00941,0.8459,0.00051,3.13312,0.95,6.24753,0.36236,1.67342,0.01254,0.56817,0.49284,0.0,0.11759,0.50172,0.0,0.0,0.0,0.37121,0.0,0.79175,0.0,0.0
